Id,QuaternaryFaultDensity,HorizGravityGradient,GeodeticStrainRate,QuaternarySlipRate,FaultRecency,FaultSlipDilationTendency,Earthquakes,HorizMagneticGradient,Heatflow,DEM_30m,Longitude,Latitude,NAME,MAX_Temp_C,Blind_Status,NET_POWER_Mwe_2018,Depth_m,TrainCode
39,-1.309507805,1.213903619,-0.534681777,1.066361192,1.391565953,0.228394453,-1.200669798,-0.826877409,0.463677059,-0.230046169,-116.681706,39.941165,Hot Springs Point,128,no,0,,1
40,-0.145533612,0.603729249,1.124400592,0.156149606,1.489985304,0.848434935,0.855712219,0.121142908,1.146997304,-1.90138018,-117.718534,40.002875,Hyder Hot Spring,84,no,0,,1
41,0.28722581,2.445875339,0.649493711,0.185226627,0.518430388,-0.012469222,0.043048028,0.007792653,0.991518758,-1.166302722,-117.490943,40.177968,Jersey Valley Hot Springs,166,no,8.4,,1
42,-0.548853118,0.988957206,-0.393024785,-1.124141517,-0.981151731,-0.386184418,0.413146728,0.02840179,-0.090388335,0.303852195,-116.347362,39.404853,Klobe Hot Spring,86,no,0,,1
43,-0.655635963,0.656000554,0.931155877,0.506013166,0.339459701,-0.223184429,-0.580014519,-0.507435781,0.408346602,-1.127614434,-117.885204,40.406565,Kyle Hot Springs,124,no,0,,1
44,0.775145193,2.606092667,1.211983058,1.108997835,0.316434657,-0.532694729,0.118718128,-0.981445939,-0.531115408,-1.016708011,-117.649767,40.603633,Leach Hot Springs,169,no,0,,1
45,-1.216913573,1.636440701,1.260158234,-0.095779881,0.264404111,-1.95464826,0.546905115,1.72865562,1.466387063,-1.522234964,-118.726035,39.209629,Lee-Allen Hot Springs,171,no,0,,1
46,-0.538741933,0.129884093,0.213210506,-0.458460969,0.258714674,0.408027094,-0.135656066,-0.404390094,1.463095438,-0.660775768,-117.501613,39.911705,McCoy,122,yes,0,,1
47,0.896987584,0.739095232,0.819394973,0.301330522,1.395609257,0.578499862,0.345153461,-0.414694663,1.098355963,-1.762102346,-117.604825,40.079335,McCoy Hot Springs,49,no,0,,1
48,-0.427360626,-1.02907476,0.360824934,-0.230907904,-0.104843988,0.692116602,0.165248082,-0.713527154,0.642035434,0.590145521,-116.913457,39.60274,McGinness Hills,192,yes,162,,1
49,-0.560527293,1.877312524,-0.319881929,1.557851941,0.118046425,0.567633831,-0.580014519,1.069163225,-0.054726168,-0.374482442,-117.137306,39.0271,McLeod Hot Spring,134,no,0,,1
50,-0.052374577,2.305628988,-1.018776939,0.428160591,-0.099662506,0.396798863,-1.352376945,-0.754745428,-0.406033111,0.038192622,-114.807406,39.667916,Monte Neva Hot Springs,111,no,0,,1
51,1.604205267,0.190503395,-0.041953597,-1.225560731,2.154757781,1.036493515,0.043048028,-0.723831722,-1.093107163,-0.521497934,-115.139251,38.594414,Moorman,45,no,0,,1
52,1.215426054,2.488578555,-0.573083818,-0.268237903,-0.151136189,0.571827738,0.069124473,0.203579457,-1.086515774,0.685576629,-116.718228,38.823048,Mosquito Ranch Springs,73,no,0,,1
