Id,QuaternaryFaultDensity,HorizGravityGradient,GeodeticStrainRate,QuaternarySlipRate,FaultRecency,FaultSlipDilationTendency,Earthquakes,HorizMagneticGradient,Heatflow,DEM-30m,Longitude,Latitude,NAME,MAX_Temp_C,Blind_Status,NET_POWER_Mwe,Depth_m,TrainCode
58,-1.298478871,0.529496291,-0.529951406,-1.124388656,-0.157382973,-1.049718569,-0.041029493,-0.517740349,0.212232477,0.125886073,-116.3617793,39.55861153,Soda Lake,216,yes,26.1,,1
60,-0.669518556,-0.723859144,0.58728716,-1.362263567,0.909129547,-0.250333123,-0.071265956,-0.054034759,-0.432222203,-1.550606375,-118.8498926,39.55915433,Bartine Hot Springs,62,no,0,,1
43,-0.427360626,-1.02907476,0.360824934,-0.230907904,-0.104843988,0.494005822,0.165248082,-0.713527154,0.642035434,0.590145521,-116.9059295,39.58960983,Patua Hot Springs,182,no,0,,1
51,0.578501745,-0.784028939,1.252134937,-0.886896486,0.052263561,-0.080877887,0.855712219,1.027944951,-0.433699025,-1.488705115,-119.0921649,39.5843244,McGinness Hills,192,yes,0,,1
73,-0.516469263,3.224229742,0.935494168,1.944392683,0.28074705,-1.099683639,-0.370133788,0.224188595,0.28769476,-0.549869344,-117.684101,39.67323159,Monte Neva Hot Springs,111,no,0,,1
37,-0.41164315,-0.266838413,1.390832997,0.610378492,2.219668309,-0.406312129,1.774457045,1.275254599,1.616189771,-1.725993277,-118.0630941,39.67713808,Tungsten Mountain,176,yes,0,,1
8,-0.052374577,2.305628988,-1.018776939,0.428160591,-0.099662506,0.536021588,-1.352376945,-0.754745428,-0.406033111,0.038192622,-114.8073263,39.66805736,Clan Alpine Ranch,70,yes,0,,1
65,-0.02741026,0.039597294,-0.986602795,-1.008621851,-0.733904647,1.330450899,-0.206033971,-0.754745428,-2.007011602,0.394124865,-115.5140379,39.73781688,Alligator Ridge well,44,yes,0,,1
34,0.569941391,-0.834887505,0.825857029,-0.820354989,-0.579896158,1.353073702,-0.467806481,0.811549009,-0.182120741,-1.130193653,-118.9485859,39.75799921,Desert Peak,219,yes,23,,1
42,0.920170515,-0.965694198,0.937708693,-0.719205401,-0.27565519,1.353073702,-0.206033971,0.419975399,-0.193560645,-1.455175267,-118.8646028,39.78190241,Bradys,212,no,26.1,,1
41,0.852764536,0.542339363,1.197842772,1.369022661,2.476672588,-0.908426982,1.169741366,-0.074643897,2.237640431,-1.725993277,-118.0707341,39.79419689,Dixie Meadows,145,no,0,,1
18,0.657755522,1.032174145,0.877027078,-0.46732089,-0.368530614,1.353073702,-0.283636291,0.18297032,0.331408174,-1.452596047,-119.0137382,39.79067101,Desert Queen,155,yes,0,,1
52,-0.621335333,0.695043494,-1.233558635,-1.010443803,-0.405961443,1.145319801,-0.370133788,-0.713527154,-1.407381678,-0.010812542,-115.6059209,39.81103419,Warm Springs Ranch-Newark Valley,42,no,0,,1
29,0.230027908,0.685796482,-0.772904764,-0.923798545,-1.18660945,0.622614717,-2.182920092,-0.991750508,-0.186079504,0.311589852,-114.5568204,39.82971588,Spring Valley Well,79,yes,0,,1
40,0.085834792,2.045043049,1.187514191,1.606740158,2.461928086,-0.226610504,1.067507936,-0.291039839,1.728364158,-1.725993277,-118.0104126,39.86231146,Dixie Comstock,196,no,0,,1
56,0.883205263,-0.328934668,0.556973762,-0.665820097,-0.0576073,0.975850643,-0.283636291,-0.723831722,2.237640431,-0.408012291,-117.1453133,39.89815628,Cherry Creek Hot Springs,102,no,0,,1
